Trial	Block	stimside	congruentcondition	colors	respside	accuracy	RT	reward	trialtime	tmstime	query	qresp	qrt
1	1	2	1	2	0	99	0	0	-0.0140171051025391	0	0	0	0
2	1	2	2	1	2	1	630	0	2.55182957649231	0	0	0	0
3	1	1	2	1	1	1	744	0	4.7344708442688	0	0	0	0
4	1	1	2	1	1	1	637	0	7.03373241424561	0	0	0	0
5	1	2	2	1	2	1	638	0	9.21636080741882	0	0	0	0
6	1	2	2	1	2	1	823	0	11.3989987373352	0	0	0	0
7	1	1	1	1	1	1	570	0	13.7649114131927	0	0	0	0
8	1	1	2	1	1	1	685	0	15.8808999061584	0	0	0	0
9	1	2	2	2	2	1	613	0	18.113525390625	0	0	0	0
10	1	1	2	1	1	1	646	0	20.2794935703278	0	0	0	0
11	1	2	1	2	2	1	559	0	22.4788014888763	0	0	0	0
12	1	1	1	1	1	1	547	0	24.594794511795	0	0	0	0
13	1	1	2	1	1	1	608	0	26.6941204071045	0	0	0	0
14	1	2	1	2	2	1	585	0	28.8601024150848	0	0	0	0
15	1	2	2	1	2	1	662	0	30.9927504062653	0	0	0	0
16	1	1	2	2	1	1	620	0	33.225376367569	0	0	0	0
17	1	2	2	1	2	1	558	0	35.4079983234406	0	0	0	0
18	1	2	1	1	1	2	713	0	37.5239923000336	0	0	0	0
19	1	2	1	1	2	1	784	0	39.789941072464	0	0	0	0
20	1	2	1	1	2	1	563	0	42.1225309371948	0	0	0	0
21	1	1	1	2	1	1	894	0	44.2551794052124	0	0	0	0
22	1	2	2	2	2	1	621	0	46.7043967247009	0	0	0	0
23	1	1	1	2	1	1	583	0	48.8703742027283	0	0	0	0
24	1	2	1	2	2	1	701	0	54.9684317111969	0	0	0	0
25	1	1	1	1	1	1	804	0	57.2177147865295	0	0	0	0
26	1	2	1	1	2	1	670	0	59.566971540451	0	0	0	0
27	1	2	1	2	2	1	662	0	61.7829232215881	0	0	0	0
28	1	2	1	1	2	1	519	0	63.9988868236542	0	0	0	0
29	1	2	2	1	2	1	644	0	66.0648984909058	0	0	0	0
30	1	1	1	2	1	1	597	0	68.2641923427582	0	0	0	0
31	1	1	2	2	0	99	0	0	70.4135076999664	0	0	0	0
32	1	1	2	2	1	1	617	0	72.9793598651886	0	0	0	0
33	1	1	2	1	1	1	867	0	75.1453311443329	0	0	0	0
34	1	1	2	1	1	1	667	0	77.5612382888794	0	0	0	0
35	1	1	1	2	2	2	644	0	79.7771925926208	0	0	0	0
36	1	1	1	1	1	1	645	0	81.9764974117279	0	0	0	0
37	1	1	1	2	1	1	613	0	84.1757910251617	0	0	0	0
38	1	2	1	1	2	1	471	0	86.3417673110962	0	0	0	0
39	1	1	2	2	1	1	638	0	88.3744554519653	0	0	0	0
40	1	2	1	2	1	2	663	0	90.5571026802063	0	0	0	0
41	1	1	1	1	1	1	647	0	92.7730643749237	0	0	0	0
42	1	2	1	1	2	1	561	0	97.9714026451111	0	0	0	0
43	1	2	2	1	2	1	709	0	100.087398052216	0	0	0	0
44	1	2	2	2	2	1	651	0	102.35333943367	0	0	0	0
45	1	1	1	1	1	1	725	0	104.55263710022	0	0	0	0
46	1	1	2	2	1	1	897	0	106.835246562958	0	0	0	0
47	1	1	2	2	1	1	680	0	109.284464359283	0	0	0	0
48	1	2	2	2	2	1	718	0	111.533760070801	0	0	0	0
49	1	2	2	2	0	99	0	0	113.79970741272	0	0	0	0
50	1	2	1	2	1	2	782	0	116.38220500946	0	0	0	0
51	1	2	1	1	2	1	617	0	118.714801311493	0	0	0	0
52	1	2	2	2	2	1	587	0	120.880775213242	0	0	0	0
