Trial	Block	stimside	congruentcondition	colors	respside	accuracy	RT	reward	trialtime	tmstime	query	qresp	qrt
1	1	1	1	2	1	1	21	0	-0.020811251597479	0	0	0	0
2	1	1	1	1	1	1	456	0	1.54562767711468	0	0	0	0
3	1	1	1	1	1	1	473	0	3.54492608166765	0	0	0	0
4	1	1	1	1	1	1	440	0	5.57756197924027	0	0	0	0
5	1	1	2	1	2	2	410	0	7.55982230615336	0	0	0	0
6	1	2	1	1	2	1	508	0	9.52612415771	0	0	0	0
7	1	1	2	2	2	2	409	0	11.5917236334644	0	0	0	0
8	1	1	1	1	1	1	459	0	13.5583115732297	0	0	0	0
9	1	1	2	2	1	1	524	0	15.5741653205478	0	0	0	0
10	1	2	1	1	2	1	344	0	17.673241697601	0	0	0	0
11	1	2	2	1	2	1	429	0	19.5727794530103	0	0	0	0
12	1	1	2	2	1	1	766	0	21.5715021916549	0	0	0	0
13	1	2	1	1	2	1	594	0	23.8879385663313	0	0	0	0
14	1	2	2	1	1	2	283	0	26.0538808070705	0	0	0	0
15	1	2	2	1	2	1	787	0	27.8859160647262	0	0	0	0
16	1	2	1	1	1	2	934	0	30.2351000990602	0	0	0	0
17	1	1	2	2	1	1	563	0	32.7342222564039	0	0	0	0
18	1	1	1	1	1	1	495	0	34.8667793923523	0	0	0	0
19	1	2	1	2	2	1	413	0	36.9331755929743	0	0	0	0
20	1	2	1	2	2	1	351	0	38.8986781220301	0	0	0	0
21	1	2	2	1	2	1	611	0	40.798013547319	0	0	0	0
22	1	1	1	2	1	1	524	0	42.9811465000384	0	0	0	0
23	1	1	2	1	2	2	330	0	45.0631646566326	0	0	0	0
24	1	2	1	2	2	1	415	0	46.9624973696191	0	0	0	0
25	1	1	1	2	1	1	561	0	48.9284448073595	0	0	0	0
26	1	1	2	1	2	2	413	0	51.0443551873905	0	0	0	0
27	1	2	2	1	2	1	639	0	53.0107411883073	0	0	0	0
28	1	2	2	1	1	2	409	0	55.1932933083153	0	0	0	0
29	1	1	2	2	0	99	0	0	57.1588831920526	0	0	0	0
30	1	1	1	1	0	99	0	0	59.7584735144046	0	0	0	0
31	1	2	1	1	2	1	877	0	62.340367800789	0	0	0	0
32	1	2	2	2	2	1	573	0	64.7732195301214	0	0	0	0
33	1	2	2	1	2	1	441	0	66.9059538820875	0	0	0	0
34	1	1	1	1	1	1	490	0	68.90469239495	0	0	0	0
35	1	2	2	2	1	2	377	0	70.9372896761633	0	0	0	0
36	1	2	2	1	2	1	427	0	72.8699549189769	0	0	0	0
37	1	2	1	2	2	1	317	0	74.8525819309289	0	0	0	0
38	1	1	2	2	2	2	338	0	76.7357160935062	0	0	0	0
39	1	1	1	2	1	1	454	0	78.6351993124699	0	0	0	0
40	1	1	1	1	1	1	568	0	80.6338785080588	0	0	0	0
41	1	1	1	2	1	1	338	0	82.7669523290824	0	0	0	0
42	1	2	1	2	2	1	328	0	84.6491100311978	0	0	0	0
43	1	1	2	1	2	2	381	0	86.5484352171188	0	0	0	0
44	1	1	1	2	1	1	496	0	88.4977345974767	0	0	0	0
45	1	2	1	2	2	1	350	0	90.5640407881583	0	0	0	0
46	1	2	2	2	2	1	595	0	92.4629875340033	0	0	0	0
47	1	2	2	1	0	99	0	0	94.6122215603245	0	0	0	0
48	1	2	1	1	0	99	0	0	97.1946405206691	0	0	0	0
49	1	2	2	1	1	2	753	0	99.7770741151762	0	0	0	0
50	1	2	2	2	2	1	565	0	102.076257829147	0	0	0	0
51	1	2	2	2	2	1	417	0	104.209454705415	0	0	0	0
52	1	1	2	2	1	1	468	0	106.174797018291	0	0	0	0
53	1	2	1	1	2	1	530	0	108.207983825181	0	0	0	0
54	1	1	2	2	1	1	433	0	110.289991937811	0	0	0	0
55	1	1	2	1	1	1	512	0	112.289908487233	0	0	0	0
56	1	1	1	1	1	1	382	0	114.3718833694	0	0	0	0
57	1	1	1	2	1	1	416	0	116.32118682377	0	0	0	0
58	1	1	2	1	1	1	563	0	118.303814735671	0	0	0	0
59	1	2	1	2	2	1	669	0	120.419729705958	0	0	0	0
60	1	2	2	2	1	2	326	0	122.652689795068	0	0	0	0
61	1	1	1	1	1	1	571	0	124.551609183894	0	0	0	0
62	1	2	2	2	2	1	518	0	126.6841715388	0	0	0	0
63	1	1	2	1	1	1	546	0	128.767143848294	0	0	0	0
64	1	1	2	1	1	1	496	0	130.866019916837	0	0	0	0
65	1	2	1	2	2	1	430	0	132.915655596531	0	0	0	0
66	1	1	1	2	1	1	559	0	134.91459341126	0	0	0	0
67	1	2	1	2	2	1	619	0	137.031126915012	0	0	0	0
68	1	1	1	2	1	1	517	0	139.213064400712	0	0	0	0
69	1	1	1	2	1	1	483	0	141.278989334649	0	0	0	0
70	1	1	1	1	1	1	418	0	143.328755124588	0	0	0	0
71	1	1	2	2	1	1	514	0	145.311230957741	0	0	0	0
72	1	2	1	2	2	1	625	0	147.376832799171	0	0	0	0
73	1	2	2	1	1	2	410	0	149.559716047312	0	0	0	0
74	1	1	1	2	0	99	0	0	151.525681129249	0	0	0	0
75	1	2	2	1	0	99	0	0	154.107765367371	0	0	0	0
76	1	1	2	2	0	99	0	0	156.690198792377	0	0	0	0
77	1	2	2	2	2	1	777	0	159.256506512815	0	0	0	0
78	1	2	1	1	2	1	365	0	161.605569977546	0	0	0	0
79	1	2	2	2	2	1	496	0	163.521452629182	0	0	0	0
80	1	2	2	2	2	1	464	0	165.570881905209	0	0	0	0
81	1	2	2	2	2	1	511	0	167.586325132172	0	0	0	0
82	1	2	1	2	2	1	511	0	169.652230564912	0	0	0	0
83	1	1	2	2	1	1	523	0	171.718195951195	0	0	0	0
84	1	2	1	1	2	1	425	0	173.800789572939	0	0	0	0
85	1	2	1	1	2	1	394	0	175.783939151443	0	0	0	0
86	1	2	1	1	2	1	493	0	177.732709791861	0	0	0	0
87	1	1	1	2	1	1	476	0	179.799026822031	0	0	0	0
88	1	1	1	1	1	1	443	0	181.831668494095	0	0	0	0
89	1	2	1	2	2	1	395	0	183.847581589944	0	0	0	0
90	1	1	2	1	2	2	447	0	185.796510607819	0	0	0	0
91	1	1	2	1	1	1	445	0	187.796303528128	0	0	0	0
92	1	1	2	2	1	1	478	0	189.79567315086	0	0	0	0
93	1	2	2	2	2	1	541	0	191.844772962504	0	0	0	0
94	1	2	1	1	2	1	618	0	193.943619399855	0	0	0	0
95	1	1	2	1	1	1	549	0	196.110147029685	0	0	0	0
96	1	1	2	1	1	1	449	0	198.208780873916	0	0	0	0
97	2	2	1	2	2	1	537	0	206.072643194173	0	0	0	0
98	2	2	1	1	2	1	550	0	208.155767094751	0	0	0	0
99	2	1	1	2	1	1	435	0	210.255129306926	0	0	0	0
100	2	2	2	1	2	1	532	0	212.254218227346	0	0	0	0
