Trial	Block	stimside	congruentcondition	colors	respside	accuracy	RT	reward	trialtime	tmstime	query	qresp	qrt
1	1	1	1	1	1	1	217	0	-0.0144209861755371	0	0	0	0
2	1	2	1	1	2	1	680	0	1.75169992446899	0	0	0	0
3	1	2	1	1	2	1	550	0	3.98434591293335	0	0	0	0
4	1	1	1	1	1	1	587	0	6.08369541168213	0	0	0	0
5	1	1	2	1	1	1	566	0	8.2163679599762	0	0	0	0
6	1	2	2	2	2	1	585	0	10.3490490913391	0	0	0	0
7	1	1	2	1	1	1	637	0	12.4817297458649	0	0	0	0
8	1	1	2	2	1	1	654	0	14.6643929481506	0	0	0	0
9	1	1	1	2	1	1	439	0	16.863706111908	0	0	0	0
10	1	1	1	2	1	1	631	0	18.8630952835083	0	0	0	0
11	1	1	1	1	1	1	439	0	21.0624160766602	0	0	0	0
12	1	2	2	2	2	1	768	0	23.0617961883545	0	0	0	0
13	1	2	1	1	2	1	588	0	25.377748966217	0	0	0	0
14	1	1	1	2	1	1	359	0	27.5104219913483	0	0	0	0
15	1	2	2	1	2	1	579	0	29.4264919757843	0	0	0	0
16	1	1	1	1	1	1	623	0	31.5591759681702	0	0	0	0
17	1	1	2	2	1	1	608	0	33.7418417930603	0	0	0	0
18	1	2	1	1	2	1	530	0	35.9078376293182	0	0	0	0
19	1	2	1	2	2	1	600	0	37.9905204772949	0	0	0	0
20	1	1	2	1	1	1	562	0	40.1398658752441	0	0	0	0
21	1	2	1	2	2	1	581	0	42.272540807724	0	0	0	0
22	1	1	2	2	1	1	561	0	44.4052128791809	0	0	0	0
23	1	2	1	2	2	1	668	0	46.5212180614471	0	0	0	0
24	1	1	1	1	1	1	533	0	48.7372086048126	0	0	0	0
25	1	1	2	1	1	1	610	0	50.8198940753937	0	0	0	0
26	1	2	2	2	2	1	660	0	52.985898733139	0	0	0	0
27	1	2	1	2	2	1	636	0	55.2018730640411	0	0	0	0
28	1	1	1	2	1	1	621	0	57.3845372200012	0	0	0	0
29	1	2	1	1	2	1	559	0	59.5505335330963	0	0	0	0
30	1	2	1	2	2	1	540	0	61.6665480136871	0	0	0	0
31	1	2	1	1	2	1	513	0	63.765905380249	0	0	0	0
32	1	1	2	1	1	1	630	0	65.8319396972656	0	0	0	0
33	1	1	1	2	1	1	735	0	68.0145950317383	0	0	0	0
34	1	1	1	2	1	1	436	0	70.2972221374512	0	0	0	0
35	1	1	2	2	1	1	486	0	72.2799479961395	0	0	0	0
36	1	2	1	1	2	1	437	0	74.3126599788666	0	0	0	0
37	1	2	1	1	2	1	573	0	76.3120331764221	0	0	0	0
38	1	1	2	2	1	1	530	0	78.4447159767151	0	0	0	0
39	1	1	2	1	2	2	455	0	80.5273950099945	0	0	0	0
40	1	2	1	2	2	1	575	0	82.5267879962921	0	0	0	0
41	1	1	1	2	1	1	546	0	84.6594636440277	0	0	0	0
42	1	2	2	2	2	1	631	0	86.758820772171	0	0	0	0
43	1	2	1	1	2	1	720	0	88.9414827823639	0	0	0	0
44	1	2	2	1	2	1	557	0	91.2241039276123	0	0	0	0
45	1	1	1	2	1	1	513	0	93.3401246070862	0	0	0	0
46	1	1	2	2	1	1	544	0	95.4061410427094	0	0	0	0
47	1	2	1	1	2	1	476	0	97.5054998397827	0	0	0	0
48	1	2	2	2	2	1	563	0	99.5382006168365	0	0	0	0
49	1	2	2	1	2	1	479	0	101.654226064682	0	0	0	0
50	1	1	2	2	1	1	488	0	103.686919927597	0	0	0	0
51	1	1	2	1	1	1	430	0	105.719630002975	0	0	0	0
52	1	2	1	1	2	1	560	0	107.702361106873	0	0	0	0
53	1	2	2	1	2	1	579	0	109.818372964859	0	0	0	0
54	1	1	1	2	1	1	598	0	111.951051950455	0	0	0	0
55	1	1	2	2	1	1	689	0	114.11704993248	0	0	0	0
56	1	1	1	1	1	1	328	0	116.349691390991	0	0	0	0
57	1	2	2	2	2	1	461	0	118.232446908951	0	0	0	0
58	1	1	2	1	1	1	517	0	120.248490333557	0	0	0	0
59	1	2	2	2	2	1	610	0	122.331177949905	0	0	0	0
60	1	2	2	1	2	1	652	0	124.497179746628	0	0	0	0
61	1	1	2	1	1	1	469	0	126.69650387764	0	0	0	0
62	1	2	1	2	2	1	477	0	128.712547779083	0	0	0	0
63	1	1	1	2	1	1	860	0	130.745241880417	0	0	0	0
64	1	2	1	1	2	1	692	0	133.16117477417	0	0	0	0
65	1	1	1	1	1	1	346	0	135.410479545593	0	0	0	0
66	1	2	1	2	2	1	679	0	137.30989575386	0	0	0	0
67	1	2	2	1	2	1	567	0	139.542535066605	0	0	0	0
68	1	2	1	2	2	1	515	0	141.658550024033	0	0	0	0
69	1	1	1	1	1	1	313	0	143.724588871002	0	0	0	0
70	1	1	2	2	1	1	487	0	145.590665102005	0	0	0	0
71	1	1	1	1	1	1	557	0	147.640046834946	0	0	0	0
72	1	1	2	2	1	1	505	0	149.756057977676	0	0	0	0
73	1	1	1	1	1	1	439	0	151.805429935455	0	0	0	0
74	1	1	2	2	1	1	496	0	153.804803371429	0	0	0	0
75	1	2	2	1	2	1	375	0	155.854171991348	0	0	0	0
76	1	2	2	1	2	1	442	0	157.786920070648	0	0	0	0
77	1	2	2	2	2	1	419	0	159.786290884018	0	0	0	0
78	1	1	1	1	1	1	733	0	161.752352237701	0	0	0	0
79	1	2	2	1	2	1	506	0	164.034981489182	0	0	0	0
80	1	2	2	1	2	1	673	0	166.084348201752	0	0	0	0
81	1	2	2	1	2	1	352	0	168.316995382309	0	0	0	0
82	1	2	2	2	2	1	501	0	170.216413259506	0	0	0	0
83	1	1	1	2	2	2	491	0	172.265782117844	0	0	0	0
84	1	2	2	2	2	1	674	0	174.315149068832	0	0	0	0
85	1	1	1	1	1	1	553	0	176.54779291153	0	0	0	0
86	1	2	2	2	2	1	485	0	178.663815021515	0	0	0	0
87	1	2	1	2	2	1	731	0	180.713174581528	0	0	0	0
88	1	2	1	2	2	1	441	0	182.995808124542	0	0	0	0
89	1	1	2	1	1	1	466	0	184.995183944702	0	0	0	0
90	1	1	2	1	1	1	427	0	187.011237621307	0	0	0	0
91	1	1	2	1	1	1	539	0	188.993952989578	0	0	0	0
92	1	1	2	2	1	1	599	0	191.093317270279	0	0	0	0
93	1	2	2	1	2	1	434	0	193.242655277252	0	0	0	0
94	1	1	1	2	1	1	668	0	195.225375652313	0	0	0	0
95	1	2	2	2	2	1	611	0	197.441353082657	0	0	0	0
96	1	2	1	2	2	1	533	0	199.607359647751	0	0	0	0
97	2	1	1	1	1	1	659	0	207.521586894989	0	0	0	0
98	2	2	2	1	2	1	780	0	209.737560033798	0	0	0	0
99	2	2	1	2	2	1	423	0	212.070184707642	0	0	0	0
100	2	2	2	1	2	1	656	0	214.036238193512	0	0	0	0
101	2	1	1	1	1	1	440	0	216.252220392227	0	0	0	0
102	2	2	2	2	2	1	514	0	218.251613616943	0	0	0	0
103	2	2	2	2	2	1	503	0	220.31763625145	0	0	0	0
104	2	2	2	1	2	1	517	0	222.383672952652	0	0	0	0
105	2	2	2	1	2	1	467	0	224.449695110321	0	0	0	0
106	2	2	2	1	2	1	530	0	226.465740919113	0	0	0	0
107	2	1	2	2	1	1	392	0	228.548436641693	0	0	0	0
108	2	1	1	2	1	1	554	0	230.49783873558	0	0	0	0
109	2	2	1	2	2	1	590	0	232.613841533661	0	0	0	0
110	2	1	2	2	1	1	634	0	234.763184070587	0	0	0	0
111	2	1	1	2	1	1	426	0	236.945848226547	0	0	0	0
112	2	2	2	1	2	1	732	0	238.928573846817	0	0	0	0
113	2	1	2	1	1	1	393	0	241.21119761467	0	0	0	0
114	2	1	2	1	1	1	483	0	243.17725777626	0	0	0	0
115	2	1	1	1	1	1	587	0	245.209961414337	0	0	0	0
116	2	1	1	2	2	2	510	0	247.342642784119	0	0	0	0
117	2	1	2	1	1	1	708	0	249.408680677414	0	0	0	0
118	2	1	1	2	1	1	665	0	251.674638748169	0	0	0	0
119	2	1	2	1	1	1	465	0	253.907293081284	0	0	0	0
120	2	2	2	2	2	1	577	0	255.93999171257	0	0	0	0
121	2	2	1	2	2	1	643	0	258.072673797607	0	0	0	0
122	2	2	2	1	2	1	812	0	260.271993637085	0	0	0	0
123	2	1	1	1	1	1	454	0	262.637921571732	0	0	0	0
124	2	2	1	1	2	1	343	0	264.637304782867	0	0	0	0
125	2	1	1	2	1	1	267	0	266.553391933441	0	0	0	0
126	2	1	2	1	2	2	354	0	268.3861515522	0	0	0	0
127	2	2	2	1	2	1	607	0	270.285576105118	0	0	0	0
128	2	1	1	1	1	1	474	0	272.45157289505	0	0	0	0
129	2	2	1	1	2	1	504	0	274.484279632568	0	0	0	0
130	2	2	1	1	2	1	413	0	276.550312042236	0	0	0	0
131	2	1	1	2	1	1	487	0	278.516376018524	0	0	0	0
132	2	2	2	1	1	2	423	0	280.549076318741	0	0	0	0
133	2	2	1	1	2	1	745	0	282.531794071198	0	0	0	0
134	2	2	2	2	2	1	453	0	284.831094741821	0	0	0	0
135	2	1	1	1	1	1	573	0	286.847129106522	0	0	0	0
136	2	2	2	1	2	1	632	0	288.97981095314	0	0	0	0
137	2	1	2	2	1	1	545	0	291.179132699966	0	0	0	0
138	2	1	2	2	1	1	525	0	293.278492927551	0	0	0	0
139	2	2	1	2	2	1	507	0	295.361186981201	0	0	0	0
140	2	1	2	2	1	1	465	0	297.427208900452	0	0	0	0
141	2	2	1	2	2	1	521	0	299.459920883179	0	0	0	0
142	2	2	2	2	2	1	581	0	301.542611598969	0	0	0	0
143	2	1	1	2	1	1	577	0	303.67528796196	0	0	0	0
144	2	1	2	2	1	1	572	0	305.807966709137	0	0	0	0
145	2	2	2	1	2	1	552	0	307.923977136612	0	0	0	0
146	2	1	2	2	1	1	516	0	310.039995670319	0	0	0	0
147	2	2	2	1	2	1	514	0	312.122684001923	0	0	0	0
148	2	2	1	2	2	1	439	0	314.188712835312	0	0	0	0
149	2	1	1	2	1	1	456	0	316.171432256699	0	0	0	0
150	2	2	2	2	2	1	536	0	318.187484741211	0	0	0	0
151	2	2	2	2	2	1	502	0	320.270168304443	0	0	0	0
152	2	2	1	2	2	1	475	0	322.336198568344	0	0	0	0
153	2	1	2	2	1	1	483	0	324.36890745163	0	0	0	0
154	2	1	1	2	1	1	442	0	326.401617765427	0	0	0	0
155	2	1	2	1	1	1	499	0	328.401001930237	0	0	0	0
156	2	1	2	1	1	1	553	0	330.45037150383	0	0	0	0
157	2	2	2	2	2	1	438	0	332.549721240997	0	0	0	0
158	2	1	1	2	1	1	575	0	334.549099445343	0	0	0	0
159	2	1	2	1	1	1	498	0	336.681789636612	0	0	0	0
160	2	2	1	1	2	1	520	0	338.731147527695	0	0	0	0
161	2	1	2	2	1	1	470	0	340.797181129456	0	0	0	0
162	2	2	1	2	1	2	534	0	342.813234806061	0	0	0	0
163	2	1	1	1	1	1	596	0	344.895922899246	0	0	0	0
164	2	2	1	2	2	1	463	0	347.045250654221	0	0	0	0
165	2	2	2	2	2	1	582	0	349.06130862236	0	0	0	0
166	2	1	1	1	1	1	529	0	351.193984746933	0	0	0	0
167	2	2	2	2	2	1	511	0	353.276675701141	0	0	0	0
168	2	2	1	1	2	1	405	0	355.342707872391	0	0	0	0
169	2	2	1	1	2	1	398	0	357.308763980865	0	0	0	0
170	2	1	2	2	1	1	521	0	359.258159399033	0	0	0	0
171	2	1	1	2	1	1	607	0	361.324187994003	0	0	0	0
172	2	1	2	2	1	1	473	0	363.490197896957	0	0	0	0
173	2	2	2	2	2	1	616	0	365.522898674011	0	0	0	0
174	2	2	1	1	1	2	698	0	367.705559015274	0	0	0	0
175	2	2	1	2	2	1	552	0	369.971534729004	0	0	0	0
176	2	2	1	1	2	1	413	0	372.070884943008	0	0	0	0
177	2	1	2	1	1	1	454	0	374.036948919296	0	0	0	0
178	2	1	1	2	1	1	751	0	376.036326169968	0	0	0	0
179	2	1	1	1	1	1	339	0	378.352283716202	0	0	0	0
180	2	1	2	1	1	1	513	0	380.251698732376	0	0	0	0
181	2	2	1	2	2	1	526	0	382.317723751068	0	0	0	0
182	2	2	1	2	2	1	459	0	384.40042090416	0	0	0	0
183	2	2	1	1	2	1	403	0	386.4164686203	0	0	0	0
184	2	2	1	1	2	1	541	0	388.38253068924	0	0	0	0
185	2	1	1	1	1	1	505	0	390.481878995895	0	0	0	0
186	2	2	1	1	2	1	463	0	392.547911643982	0	0	0	0
187	2	1	1	1	1	1	375	0	394.563951015472	0	0	0	0
188	2	1	2	1	1	1	571	0	396.496699810028	0	0	0	0
189	2	2	2	2	2	1	590	0	398.61270904541	0	0	0	0
190	2	1	2	1	1	1	610	0	400.762051820755	0	0	0	0
191	2	1	1	1	1	1	619	0	402.928046226501	0	0	0	0
192	2	1	2	2	1	1	533	0	405.094048261642	0	0	0	0
193	3	1	2	2	1	1	579	0	413.608096837997	0	0	0	0
194	3	1	1	2	1	1	486	0	415.74076294899	0	0	0	0
195	3	2	1	2	2	1	470	0	417.790132522583	0	0	0	0
196	3	2	2	2	2	1	461	0	419.806189060211	0	0	0	0
197	3	2	2	2	2	1	493	0	421.822234630585	0	0	0	0
198	3	1	2	2	1	1	460	0	423.871589899063	0	0	0	0
199	3	1	1	2	1	1	788	0	425.887645721436	0	0	0	0
200	3	2	1	2	2	1	543	0	428.220259189606	0	0	0	0
201	3	1	2	2	1	1	595	0	430.319618701935	0	0	0	0
202	3	2	2	2	2	1	582	0	432.468949079514	0	0	0	0
203	3	1	1	1	1	1	658	0	434.601624727249	0	0	0	0
204	3	2	2	1	2	1	625	0	436.817615032196	0	0	0	0
205	3	1	2	2	1	1	500	0	439.000268220901	0	0	0	0
206	3	2	2	2	2	1	521	0	441.066298961639	0	0	0	0
207	3	2	1	1	2	1	879	0	443.148989677429	0	0	0	0
208	3	2	1	1	2	1	429	0	445.581582069397	0	0	0	0
209	3	1	1	1	1	1	342	0	447.564309835434	0	0	0	0
210	3	2	2	1	2	1	483	0	449.463711023331	0	0	0	0
211	3	2	1	2	2	1	386	0	451.496428966522	0	0	0	0
212	3	2	2	2	2	1	470	0	453.429167032242	0	0	0	0
213	3	2	2	1	2	1	454	0	455.445213079453	0	0	0	0
214	3	2	2	1	2	1	470	0	457.444586277008	0	0	0	0
215	3	1	2	1	1	1	534	0	459.460635900497	0	0	0	0
216	3	1	2	1	1	1	363	0	461.543324232101	0	0	0	0
217	3	2	2	1	2	1	551	0	463.476075649261	0	0	0	0
218	3	1	1	2	1	1	675	0	465.57542014122	0	0	0	0
219	3	2	1	1	1	2	443	0	467.808066606522	0	0	0	0
220	3	2	1	1	2	1	587	0	469.807459831238	0	0	0	0
221	3	2	2	1	2	1	478	0	471.940128087997	0	0	0	0
222	3	2	1	2	2	1	446	0	473.972830533981	0	0	0	0
223	3	2	2	2	2	1	414	0	475.972224712372	0	0	0	0
224	3	1	2	2	1	1	552	0	477.938286781311	0	0	0	0
225	3	2	1	1	2	1	413	0	480.037631988525	0	0	0	0
226	3	1	2	1	1	1	551	0	482.003700733185	0	0	0	0
227	3	2	2	2	2	1	548	0	484.103050231934	0	0	0	0
228	3	1	1	1	1	1	688	0	486.202400445938	0	0	0	0
229	3	1	2	2	1	1	558	0	488.451706886292	0	0	0	0
230	3	1	1	2	1	1	618	0	490.567722558975	0	0	0	0
231	3	2	2	1	2	1	525	0	492.733723163605	0	0	0	0
232	3	2	1	2	2	1	442	0	494.816422939301	0	0	0	0
233	3	1	2	2	1	1	482	0	496.815807819366	0	0	0	0
234	3	2	1	2	2	1	611	0	498.848511219025	0	0	0	0
235	3	2	1	2	2	1	396	0	501.014516830444	0	0	0	0
236	3	2	2	1	2	1	574	0	502.963918209076	0	0	0	0
237	3	1	2	1	1	1	489	0	505.096592664719	0	0	0	0
238	3	2	1	1	2	1	744	0	507.145956516266	0	0	0	0
239	3	2	1	1	2	1	397	0	509.445244073868	0	0	0	0
240	3	2	2	2	1	2	447	0	511.411304712296	0	0	0	0
241	3	2	1	1	2	1	504	0	513.410698652267	0	0	0	0
242	3	1	2	1	1	1	510	0	515.460058927536	0	0	0	0
243	3	1	1	2	1	1	700	0	517.526089906693	0	0	0	0
244	3	2	1	1	2	1	619	0	519.792057037354	0	0	0	0
245	3	2	1	2	2	1	443	0	521.974720478058	0	0	0	0
246	3	1	2	1	1	1	484	0	523.974106550217	0	0	0	0
247	3	2	1	1	2	1	491	0	526.006813287735	0	0	0	0
248	3	1	1	1	1	1	634	0	528.056190013885	0	0	0	0
249	3	1	1	2	1	1	763	0	530.238844156265	0	0	0	0
250	3	1	2	2	1	1	534	0	532.571460485458	0	0	0	0
251	3	1	2	1	2	2	436	0	534.654149055481	0	0	0	0
252	3	1	2	2	1	1	717	0	536.636878013611	0	0	0	0
253	3	2	2	2	2	1	508	0	538.90284371376	0	0	0	0
254	3	2	1	2	2	1	337	0	540.968873023987	0	0	0	0
255	3	1	2	1	1	1	470	0	542.868295907974	0	0	0	0
256	3	2	2	2	2	1	445	0	544.901002883911	0	0	0	0
257	3	1	1	1	1	1	566	0	546.900379896164	0	0	0	0
258	3	1	1	1	1	1	491	0	549.016402006149	0	0	0	0
259	3	2	2	2	1	2	440	0	551.065773248672	0	0	0	0
260	3	2	2	1	2	1	473	0	553.065159797668	0	0	0	0
261	3	2	2	1	2	1	384	0	555.097857713699	0	0	0	0
262	3	1	2	1	1	1	539	0	557.030606746674	0	0	0	0
263	3	2	1	2	2	1	489	0	559.113290309906	0	0	0	0
264	3	1	2	1	1	1	480	0	561.145994186401	0	0	0	0
