Trial	Block	stimside	congruentcondition	colors	respside	accuracy	RT	reward	trialtime	tmstime	query	qresp	qrt
1	1	2	1	1	2	1	525	0	-0.0114017478836104	0	0	0	0
2	1	1	2	1	2	2	459	0	2.07118394340614	0	0	0	0
3	1	1	2	1	0	99	0	0	4.08756784489833	0	0	0	0
4	1	1	1	1	1	1	276	0	6.66953978108631	0	0	0	0
5	1	1	2	1	1	1	587	0	8.51887807964249	0	0	0	0
6	1	1	2	2	2	2	471	0	10.6681117796425	0	0	0	0
7	1	1	1	1	1	1	246	0	12.700732265158	0	0	0	0
8	1	2	1	1	2	1	574	0	14.5000892086127	0	0	0	0
9	1	1	2	1	2	2	409	0	16.6326351550033	0	0	0	0
10	1	1	1	2	1	1	299	0	18.6152736578906	0	0	0	0
11	1	2	1	2	1	2	513	0	20.4646204028386	0	0	0	0
12	1	2	1	2	2	1	591	0	22.5472057448496	0	0	0	0
13	1	1	2	1	2	2	376	0	24.7130937941274	0	0	0	0
14	1	2	2	2	1	2	267	0	26.6629753448988	0	0	0	0
15	1	2	1	1	2	1	532	0	28.4950661071698	0	0	0	0
16	1	1	1	2	1	1	304	0	30.594954844898	0	0	0	0
17	1	2	1	2	2	1	438	0	32.4603178187672	0	0	0	0
18	1	1	2	2	1	1	565	0	34.4600602448982	0	0	0	0
19	1	1	1	2	1	1	481	0	36.5921871028386	0	0	0	0
20	1	2	1	1	2	1	240	0	38.6419185448985	0	0	0	0
21	1	2	2	1	1	2	264	0	40.4412298448988	0	0	0	0
22	1	1	1	1	1	1	353	0	42.2735079028389	0	0	0	0
23	1	2	1	1	2	1	388	0	44.1894724202102	0	0	0	0
24	1	2	2	1	2	1	231	0	46.138764631809	0	0	0	0
25	1	2	2	1	1	2	351	0	47.9385486448982	0	0	0	0
26	1	1	1	1	1	1	405	0	49.8374543578911	0	0	0	0
27	1	2	1	1	2	1	245	0	51.820099252117	0	0	0	0
28	1	2	1	1	2	1	333	0	53.6366777448984	0	0	0	0
29	1	1	1	2	1	1	308	0	55.5187779274775	0	0	0	0
30	1	1	1	2	1	1	313	0	57.3847532796426	0	0	0	0
31	1	1	2	1	1	1	313	0	59.3840471578915	0	0	0	0
32	1	2	2	2	2	1	362	0	61.3999990651573	0	0	0	0
33	1	2	2	1	1	2	314	0	63.3993068521168	0	0	0	0
34	1	1	2	1	2	2	299	0	65.3985676202101	0	0	0	0
35	1	2	2	2	2	1	588	0	67.398267444898	0	0	0	0
36	1	2	2	1	1	2	279	0	69.547433544898	0	0	0	0
37	1	2	2	2	2	1	574	0	71.3964409071696	0	0	0	0
38	1	1	1	2	1	1	329	0	73.5290025550039	0	0	0	0
39	1	2	2	1	1	2	382	0	75.4120464448979	0	0	0	0
40	1	2	1	2	2	1	287	0	77.3942809028385	0	0	0	0
41	1	1	2	2	1	1	432	0	79.3941829448986	0	0	0	0
42	1	1	2	1	2	2	257	0	81.3933308448986	0	0	0	0
43	1	1	2	1	1	1	537	0	83.2088591086131	0	0	0	0
44	1	2	2	2	1	2	306	0	85.3914122970154	0	0	0	0
45	1	2	2	2	1	2	355	0	87.3907232651572	0	0	0	0
46	1	2	1	1	2	1	307	0	89.3903582448984	0	0	0	0
47	1	1	1	2	2	2	228	0	91.3898114448984	0	0	0	0
48	1	2	2	1	1	2	351	0	93.1719688781996	0	0	0	0
49	1	2	2	2	0	99	0	0	95.0879744651575	0	0	0	0
50	1	1	1	1	2	2	652	0	97.6541807448984	0	0	0	0
51	1	2	1	1	2	1	388	0	99.8700211448986	0	0	0	0
52	1	2	2	2	1	2	327	0	101.818890346292	0	0	0	0
53	1	2	2	1	2	1	444	0	103.701545005725	0	0	0	0
54	1	1	2	2	1	1	493	0	105.717489628921	0	0	0	0
55	1	1	2	1	1	1	571	0	107.76676848253	0	0	0	0
56	1	1	1	1	2	2	263	0	109.899774244898	0	0	0	0
57	1	1	1	1	1	1	318	0	111.73202182021	0	0	0	0
58	1	1	2	1	2	2	275	0	113.614700192685	0	0	0	0
59	1	2	2	2	1	2	299	0	115.447360840519	0	0	0	0
60	1	2	1	2	1	2	573	0	117.397024044898	0	0	0	0
61	1	1	2	2	0	99	0	0	119.512582215879	0	0	0	0
62	1	1	1	2	1	1	386	0	122.095453444898	0	0	0	0
63	1	2	1	2	2	1	277	0	124.044600444899	0	0	0	0
64	1	1	1	1	2	2	221	0	125.877370544898	0	0	0	0
65	1	1	2	2	1	1	390	0	127.643541444898	0	0	0	0
66	1	1	2	2	2	2	377	0	129.592920244898	0	0	0	0
67	1	2	1	2	0	99	0	0	131.525569144898	0	0	0	0
68	1	2	2	2	2	1	647	0	134.107739344899	0	0	0	0
69	1	1	1	1	2	2	493	0	136.406542695571	0	0	0	0
70	1	1	1	1	2	2	506	0	138.455810066602	0	0	0	0
71	1	1	2	2	1	1	536	0	140.522118244899	0	0	0	0
72	1	2	2	2	2	1	597	0	142.604909444898	0	0	0	0
73	1	2	1	2	1	2	299	0	144.887382244899	0	0	0	0
74	1	1	1	2	2	2	317	0	146.886134065157	0	0	0	0
75	1	2	1	2	0	99	0	0	148.885783744899	0	0	0	0
76	1	1	2	2	1	1	791	0	151.451165017324	0	0	0	0
77	1	1	1	2	2	2	281	0	153.800316007169	0	0	0	0
78	1	2	1	2	2	1	447	0	155.650065444898	0	0	0	0
79	1	1	1	1	2	2	385	0	157.648940730364	0	0	0	0
80	1	1	1	2	1	1	468	0	159.581588728921	0	0	0	0
81	1	2	2	1	2	1	468	0	161.614209057891	0	0	0	0
82	1	2	2	1	2	1	403	0	163.647330844899	0	0	0	0
83	1	1	1	1	1	1	310	0	165.613143244898	0	0	0	0
84	1	2	2	2	1	2	283	0	167.478782865158	0	0	0	0
85	1	2	1	1	2	1	270	0	169.395243044898	0	0	0	0
86	1	2	1	2	2	1	391	0	171.227432779642	0	0	0	0
87	1	1	2	2	1	1	569	0	173.17674362021	0	0	0	0
88	1	2	1	1	2	1	321	0	175.392618741963	0	0	0	0
89	1	1	2	2	1	1	322	0	177.392318344899	0	0	0	0
90	1	2	2	1	2	1	483	0	179.391201965158	0	0	0	0
91	1	2	2	1	1	2	306	0	181.440907844898	0	0	0	0
92	1	2	1	1	2	1	324	0	183.406412108613	0	0	0	0
93	1	1	2	2	1	1	259	0	185.406038044898	0	0	0	0
94	1	1	2	1	2	2	363	0	187.222174644899	0	0	0	0
95	1	1	1	2	1	1	448	0	189.138332044899	0	0	0	0
96	1	2	1	2	1	2	256	0	191.153650128921	0	0	0	0
97	2	1	2	1	2	2	705	0	256.880585944898	0	0	0	0
98	2	2	2	1	2	1	312	0	259.146482444899	0	0	0	0
99	2	1	1	1	1	1	303	0	261.012022033252	0	0	0	0
100	2	1	1	2	1	1	244	0	262.878031405725	0	0	0	0
101	2	2	2	2	2	1	364	0	264.677867544899	0	0	0	0
102	2	1	1	1	1	1	284	0	266.610052495571	0	0	0	0
103	2	1	1	1	1	1	519	0	268.459375895571	0	0	0	0
104	2	1	2	1	2	2	351	0	270.541970640518	0	0	0	0
105	2	2	2	1	1	2	281	0	272.441697144898	0	0	0	0
106	2	2	2	1	2	1	431	0	274.290643102839	0	0	0	0
107	2	2	2	1	2	1	219	0	276.423552144898	0	0	0	0
108	2	2	1	2	2	1	276	0	278.206274944899	0	0	0	0
109	2	2	1	1	1	2	268	0	280.038581717324	0	0	0	0
110	2	1	2	2	1	1	468	0	281.854603189797	0	0	0	0
111	2	2	2	1	2	1	308	0	283.88719898253	0	0	0	0
112	2	1	1	2	1	1	360	0	285.753701544898	0	0	0	0
113	2	1	1	2	1	1	285	0	287.669193155003	0	0	0	0
114	2	1	2	1	2	2	372	0	289.501876227478	0	0	0	0
115	2	1	2	2	1	1	456	0	291.417859407169	0	0	0	0
116	2	1	1	1	1	1	249	0	293.434150144898	0	0	0	0
117	2	2	2	2	2	1	305	0	295.233164856447	0	0	0	0
118	2	2	1	1	2	1	359	0	297.099161365158	0	0	0	0
119	2	2	1	1	2	1	282	0	299.015519444898	0	0	0	0
120	2	2	2	1	2	1	240	0	300.881437244899	0	0	0	0
121	2	2	2	2	2	1	281	0	302.680838444899	0	0	0	0
122	2	1	2	1	2	2	257	0	304.513157407169	0	0	0	0
123	2	2	1	1	2	1	441	0	306.329171155004	0	0	0	0
124	2	2	2	2	1	2	261	0	308.428450889797	0	0	0	0
125	2	1	2	1	1	1	542	0	310.244456569489	0	0	0	0
126	2	1	1	1	2	2	231	0	312.427461844898	0	0	0	0
127	2	2	1	2	2	1	528	0	314.210078744898	0	0	0	0
128	2	2	1	1	1	2	312	0	316.425579017324	0	0	0	0
129	2	1	2	2	1	1	655	0	318.291591328921	0	0	0	0
130	2	1	1	1	1	1	262	0	320.507445728921	0	0	0	0
131	2	2	1	2	2	1	398	0	322.340593644898	0	0	0	0
132	2	2	2	2	2	1	219	0	324.422726965157	0	0	0	0
133	2	2	2	2	2	1	389	0	326.188754618767	0	0	0	0
134	2	1	2	2	2	2	249	0	328.121392504282	0	0	0	0
135	2	1	2	2	1	1	450	0	329.937431002839	0	0	0	0
136	2	1	1	2	1	1	289	0	331.953377383974	0	0	0	0
137	2	2	2	1	1	2	263	0	333.803025844898	0	0	0	0
138	2	1	2	1	2	2	286	0	335.619201844898	0	0	0	0
139	2	1	2	1	1	1	647	0	337.46806188253	0	0	0	0
140	2	1	2	2	1	1	445	0	339.684298444899	0	0	0	0
141	2	2	2	2	1	2	253	0	341.700511744898	0	0	0	0
142	2	1	2	2	1	1	518	0	343.516293244898	0	0	0	0
143	2	1	1	2	1	1	260	0	345.599081744898	0	0	0	0
144	2	1	1	2	1	1	283	0	347.431583644899	0	0	0	0
145	2	2	2	1	1	2	301	0	349.397528644899	0	0	0	0
146	2	1	1	2	1	1	381	0	351.41308322021	0	0	0	0
147	2	2	1	1	2	1	271	0	353.412369566602	0	0	0	0
148	2	1	1	1	2	2	262	0	355.228796044898	0	0	0	0
149	2	1	2	1	0	99	0	0	357.044885744898	0	0	0	0
150	2	2	1	2	2	1	488	0	359.610175389796	0	0	0	0
151	2	2	2	2	2	1	614	0	361.659837044898	0	0	0	0
152	2	2	1	1	2	1	304	0	363.841974594127	0	0	0	0
153	2	1	2	2	1	1	534	0	365.707978192684	0	0	0	0
154	2	1	1	2	1	1	675	0	367.790565330364	0	0	0	0
155	2	2	2	2	2	1	284	0	370.023532144898	0	0	0	0
156	2	2	1	2	2	1	321	0	371.872863744898	0	0	0	0
157	2	2	1	2	2	1	263	0	373.755128552117	0	0	0	0
158	2	1	2	2	2	2	303	0	375.587782295571	0	0	0	0
159	2	1	2	1	2	2	500	0	377.454177044899	0	0	0	0
160	2	2	2	1	1	2	259	0	379.503554644898	0	0	0	0
161	2	2	2	2	2	1	408	0	381.402385327478	0	0	0	0
162	2	2	1	1	2	1	248	0	383.402119444899	0	0	0	0
163	2	2	1	2	2	1	304	0	385.218191644898	0	0	0	0
164	2	1	1	1	1	1	311	0	387.084065144898	0	0	0	0
165	2	1	2	1	2	2	301	0	388.949685792684	0	0	0	0
166	2	2	1	1	1	2	415	0	390.898996565157	0	0	0	0
167	2	2	2	1	1	2	352	0	392.89826782021	0	0	0	0
168	2	2	1	1	2	1	272	0	394.897905844899	0	0	0	0
169	2	2	1	2	1	2	344	0	396.730789044898	0	0	0	0
170	2	1	2	1	2	2	285	0	398.629546730364	0	0	0	0
171	2	2	2	2	2	1	579	0	400.478901679643	0	0	0	0
172	2	1	2	2	2	2	284	0	402.611838144899	0	0	0	0
173	2	2	2	1	1	2	245	0	404.461390644899	0	0	0	0
174	2	1	1	2	1	1	462	0	406.260161595571	0	0	0	0
175	2	1	1	1	1	1	520	0	408.426042530365	0	0	0	0
176	2	2	1	2	2	1	374	0	410.50864599124	0	0	0	0
177	2	1	1	1	2	2	250	0	412.425230644898	0	0	0	0
178	2	1	2	1	1	1	545	0	414.240663065158	0	0	0	0
179	2	1	1	1	1	1	299	0	416.423211365158	0	0	0	0
180	2	2	2	2	1	2	321	0	418.273032744898	0	0	0	0
181	2	2	1	2	1	2	600	0	420.13853919124	0	0	0	0
182	2	2	1	2	2	1	397	0	422.421042557891	0	0	0	0
183	2	2	1	1	2	1	366	0	424.420857144898	0	0	0	0
184	2	1	2	2	2	2	382	0	426.420073944898	0	0	0	0
185	2	1	1	1	1	1	352	0	428.418899857891	0	0	0	0
186	2	2	2	1	1	2	256	0	430.418579944899	0	0	0	0
187	2	1	1	2	1	1	457	0	432.218138344899	0	0	0	0
188	2	1	1	2	2	2	312	0	434.233884644898	0	0	0	0
189	2	1	2	2	1	1	413	0	436.116595844898	0	0	0	0
190	2	2	1	2	2	1	319	0	438.098778483974	0	0	0	0
191	2	2	1	1	2	1	373	0	439.964795269489	0	0	0	0
192	2	1	1	2	1	1	312	0	441.897853944898	0	0	0	0
193	3	2	1	1	2	1	715	0	466.455751244898	0	0	0	0
194	3	2	2	1	1	2	257	0	468.721185104282	0	0	0	0
195	3	2	2	2	1	2	367	0	470.537608844898	0	0	0	0
196	3	1	1	2	2	2	237	0	472.45318509124	0	0	0	0
197	3	1	2	2	1	1	453	0	474.253126544898	0	0	0	0
198	3	1	2	1	1	1	581	0	476.268804144898	0	0	0	0
199	3	2	2	1	2	1	256	0	478.43438268253	0	0	0	0
200	3	2	2	1	1	2	296	0	480.25039668253	0	0	0	0
201	3	2	1	1	2	1	270	0	482.099742179643	0	0	0	0
202	3	1	2	1	1	1	438	0	483.916244044898	0	0	0	0
203	3	2	2	1	1	2	279	0	485.915452744898	0	0	0	0
204	3	1	1	2	1	1	733	0	487.764857944899	0	0	0	0
205	3	2	2	2	1	2	291	0	490.063565420211	0	0	0	0
206	3	2	2	1	2	1	346	0	491.913408644898	0	0	0	0
207	3	1	2	1	2	2	254	0	493.812229507169	0	0	0	0
208	3	2	2	2	1	2	311	0	495.611581204282	0	0	0	0
209	3	2	2	1	2	1	380	0	497.494679144898	0	0	0	0
210	3	1	2	1	2	2	239	0	499.426893752116	0	0	0	0
211	3	2	1	2	2	1	408	0	501.226232304281	0	0	0	0
212	3	2	1	1	2	1	361	0	503.20887129124	0	0	0	0
213	3	1	2	2	2	2	510	0	505.124850015879	0	0	0	0
214	3	1	2	1	2	2	268	0	507.191190444898	0	0	0	0
215	3	1	1	1	1	1	275	0	509.023886644898	0	0	0	0
216	3	1	1	2	1	1	312	0	510.906122568045	0	0	0	0
217	3	1	2	2	2	2	377	0	512.905410289797	0	0	0	0
218	3	1	2	1	1	1	442	0	514.904692028921	0	0	0	0
219	3	1	2	2	1	1	426	0	516.903982257891	0	0	0	0
220	3	2	2	2	1	2	266	0	518.903754744898	0	0	0	0
221	3	2	2	1	2	1	547	0	520.719268931809	0	0	0	0
222	3	2	1	1	2	1	268	0	522.902204344899	0	0	0	0
223	3	1	1	2	1	1	452	0	524.717841855004	0	0	0	0
224	3	1	2	2	2	2	405	0	526.733805627478	0	0	0	0
225	3	2	1	1	1	2	343	0	528.683516144898	0	0	0	0
226	3	2	1	2	2	1	379	0	530.599082331809	0	0	0	0
227	3	1	1	1	1	1	254	0	532.532169544898	0	0	0	0
228	3	1	1	2	1	1	391	0	534.331089440519	0	0	0	0
229	3	2	1	2	2	1	260	0	536.430337717324	0	0	0	0
230	3	2	2	2	1	2	316	0	538.246372555003	0	0	0	0
231	3	2	2	2	2	1	337	0	540.129425544898	0	0	0	0
232	3	2	2	2	1	2	326	0	542.012048144898	0	0	0	0
233	3	2	2	1	2	1	283	0	543.894365546293	0	0	0	0
234	3	2	1	2	1	2	259	0	545.727005481086	0	0	0	0
235	3	1	1	1	1	1	700	0	547.543037815879	0	0	0	0
236	3	1	2	1	1	1	306	0	549.792234792684	0	0	0	0
237	3	1	2	1	2	2	328	0	551.658235595571	0	0	0	0
238	3	2	2	1	1	2	269	0	553.558016044898	0	0	0	0
239	3	2	2	2	2	1	323	0	555.423547557891	0	0	0	0
240	3	2	1	1	2	1	292	0	557.423254644898	0	0	0	0
241	3	1	2	1	0	99	0	0	559.422591944898	0	0	0	0
