Trial	Block	stimside	congruentcondition	colors	respside	accuracy	RT	reward	trialtime	tmstime	query	qresp	qrt
1	1	1	1	1	1	1	434	0	-0.0103659745072946	0	0	0	0
2	1	1	2	1	1	1	515	0	1.97226102172863	0	0	0	0
3	1	2	1	2	2	1	336	0	4.05484003911261	0	0	0	0
4	1	2	2	1	1	2	278	0	5.93750248930883	0	0	0	0
5	1	1	2	1	2	2	492	0	7.7706717478577	0	0	0	0
6	1	2	2	1	1	2	427	0	9.81988045875914	0	0	0	0
7	1	1	2	2	1	1	862	0	11.8020819522208	0	0	0	0
8	1	1	1	1	1	1	302	0	14.2178800493712	0	0	0	0
9	1	1	1	1	1	1	356	0	16.0672010069247	0	0	0	0
10	1	1	2	2	2	2	280	0	17.9831764514092	0	0	0	0
11	1	2	1	1	2	1	448	0	19.8325497579062	0	0	0	0
12	1	2	1	2	2	1	399	0	21.8484686735319	0	0	0	0
13	1	1	2	1	1	1	498	0	23.797776202322	0	0	0	0
14	1	2	2	2	2	1	384	0	25.8637026334181	0	0	0	0
15	1	1	1	1	1	1	355	0	27.8129954014439	0	0	0	0
16	1	1	1	1	1	1	342	0	29.728982027038	0	0	0	0
17	1	1	1	2	1	1	410	0	31.645346134319	0	0	0	0
18	1	1	1	2	1	1	397	0	33.6109252376482	0	0	0	0
19	1	2	2	2	1	2	334	0	35.5607738654362	0	0	0	0
20	1	1	1	2	1	1	404	0	37.4595632099081	0	0	0	0
21	1	1	1	1	2	2	470	0	39.425516171963	0	0	0	0
22	1	2	1	1	2	1	229	0	41.4581305140164	0	0	0	0
23	1	2	1	1	2	1	318	0	43.2408244655235	0	0	0	0
24	1	1	2	2	2	2	372	0	45.1238745662849	0	0	0	0
25	1	1	1	2	1	1	343	0	47.0565277362475	0	0	0	0
26	1	1	2	2	2	2	252	0	48.9720939844847	0	0	0	0
27	1	2	1	2	1	2	306	0	50.7884451156715	0	0	0	0
28	1	1	2	1	1	1	473	0	52.6541186582763	0	0	0	0
29	1	2	1	2	2	1	264	0	54.6867212322541	0	0	0	0
