Trial	Block	stimside	congruentcondition	colors	respside	accuracy	RT	reward	trialtime	tmstime	query	qresp	qrt
1	1	2	1	2	2	1	505	0	-0.00708270072937012	0	0	0	0
2	1	2	2	2	2	1	535	0	2.05890369415283	0	0	0	0
3	1	2	1	2	2	1	420	0	4.14154076576233	0	0	0	0
4	1	1	1	2	1	1	518	0	6.1075656414032	0	0	0	0
5	1	1	1	1	1	1	435	0	8.19021940231323	0	0	0	0
6	1	1	2	2	1	1	549	0	10.1895563602448	0	0	0	0
7	1	2	2	2	2	1	433	0	12.2888653278351	0	0	0	0
8	1	1	2	2	1	1	450	0	14.2715525627136	0	0	0	0
9	1	1	2	1	1	1	627	0	16.2708895206451	0	0	0	0
10	1	2	1	2	2	1	571	0	18.4701664447784	0	0	0	0
11	1	2	1	2	2	1	471	0	20.6028053760529	0	0	0	0
12	1	1	2	2	1	1	567	0	22.6188015937805	0	0	0	0
13	1	2	2	2	2	1	531	0	24.7347724437714	0	0	0	0
14	1	2	2	2	2	1	737	0	26.8174283504486	0	0	0	0
15	1	1	1	1	1	1	598	0	29.1000125408173	0	0	0	0
16	1	1	1	1	1	1	431	0	31.2659606933594	0	0	0	0
17	1	1	2	1	1	1	624	0	33.2652976512909	0	0	0	0
18	1	2	1	2	2	1	522	0	35.4479167461395	0	0	0	0
19	1	2	1	2	2	1	503	0	37.5305705070496	0	0	0	0
20	1	2	1	1	2	1	469	0	39.5965566635132	0	0	0	0
21	1	2	2	2	2	1	596	0	41.6292295455933	0	0	0	0
22	1	1	2	2	1	1	526	0	43.7951776981354	0	0	0	0
23	1	1	2	2	1	1	556	0	45.8778274059296	0	0	0	0
24	1	2	2	2	2	1	600	0	47.9938006401062	0	0	0	0
25	1	1	2	1	1	1	530	0	50.1430916786194	0	0	0	0
26	1	2	1	1	2	1	577	0	52.2257435321808	0	0	0	0
27	1	1	1	1	1	1	523	0	54.375027179718	0	0	0	0
28	1	2	2	1	2	1	616	0	56.4576845169067	0	0	0	0
29	1	2	2	1	2	1	562	0	58.6236424446106	0	0	0	0
30	1	1	2	2	1	1	511	0	60.739616394043	0	0	0	0
31	1	2	1	2	2	1	636	0	62.8055994510651	0	0	0	0
32	1	2	2	1	2	1	516	0	65.0048828125	0	0	0	0
33	1	1	2	2	1	1	578	0	67.0708634853363	0	0	0	0
34	1	2	2	2	2	1	574	0	69.2035036087036	0	0	0	0
35	1	2	1	1	2	1	505	0	71.336133480072	0	0	0	0
36	1	1	2	2	1	1	648	0	73.385458946228	0	0	0	0
37	1	2	1	1	2	1	464	0	75.6013984680176	0	0	0	0
38	1	1	1	1	1	1	687	0	77.6340675354004	0	0	0	0
39	1	2	1	1	2	1	598	0	79.8833255767822	0	0	0	0
40	1	2	1	2	2	1	465	0	82.0326225757599	0	0	0	0
41	1	2	1	1	2	1	465	0	84.0486106872559	0	0	0	0
42	1	1	1	2	1	1	432	0	86.0646324157715	0	0	0	0
43	1	2	1	1	2	1	497	0	88.0639765262604	0	0	0	0
44	1	1	1	2	1	1	608	0	90.113303899765	0	0	0	0
45	1	2	1	1	2	1	442	0	92.2792613506317	0	0	0	0
46	1	2	2	2	2	1	587	0	94.2785975933075	0	0	0	0
47	1	1	2	2	1	1	550	0	96.4112415313721	0	0	0	0
48	1	2	1	2	2	1	530	0	98.5272114276886	0	0	0	0
49	1	1	2	2	1	1	447	0	100.626519680023	0	0	0	0
50	1	1	2	1	1	1	543	0	102.625861644745	0	0	0	0
51	1	2	2	1	2	1	476	0	104.725179672241	0	0	0	0
52	1	1	2	1	1	1	522	0	106.774506807327	0	0	0	0
53	1	2	2	1	2	1	504	0	108.85715508461	0	0	0	0
54	1	1	2	1	1	1	566	0	110.923145532608	0	0	0	0
55	1	1	1	1	2	2	530	0	113.055781602859	0	0	0	0
56	1	2	2	1	2	1	543	0	115.138434410095	0	0	0	0
57	1	2	2	1	2	1	523	0	117.237738847733	0	0	0	0
58	1	1	1	2	1	1	584	0	119.320388555527	0	0	0	0
59	1	2	2	2	2	1	531	0	121.469685316086	0	0	0	0
60	1	2	2	2	2	1	544	0	123.568992614746	0	0	0	0
61	1	1	2	1	1	1	557	0	125.668309688568	0	0	0	0
62	1	1	1	1	1	1	648	0	127.784280776978	0	0	0	0
63	1	2	1	2	2	1	577	0	129.983565807343	0	0	0	0
64	1	1	2	2	1	1	510	0	132.116198778152	0	0	0	0
65	1	1	2	1	1	1	602	0	134.182186603546	0	0	0	0
66	1	1	1	2	1	1	534	0	136.34814453125	0	0	0	0
67	1	2	2	1	2	1	738	0	138.430797100067	0	0	0	0
