Trial	Block	stimside	congruentcondition	colors	respside	accuracy	RT	reward	trialtime	tmstime	query	qresp	qrt
1	1	2	2	1	2	1	566	0	-0.0133302211761475	0	0	0	0
2	1	2	1	1	2	1	410	0	2.10275673866272	0	0	0	0
3	1	1	1	1	1	1	292	0	4.06888484954834	0	0	0	0
4	1	1	1	2	1	1	428	0	5.90171504020691	0	0	0	0
5	1	2	2	2	2	1	525	0	7.88451886177063	0	0	0	0
6	1	1	2	2	1	1	452	0	9.95061230659485	0	0	0	0
7	1	1	2	1	2	2	395	0	11.9500687122345	0	0	0	0
8	1	1	2	1	1	1	582	0	13.8995246887207	0	0	0	0
9	1	1	1	1	1	1	521	0	16.0322790145874	0	0	0	0
10	1	1	2	2	2	2	384	0	18.0983741283417	0	0	0	0
11	1	1	2	1	1	1	490	0	20.0311734676361	0	0	0	0
12	1	1	2	2	1	1	546	0	22.0639569759369	0	0	0	0
13	1	2	2	1	2	1	334	0	24.1633784770966	0	0	0	0
14	1	1	2	1	1	1	443	0	26.0461921691895	0	0	0	0
15	1	2	2	2	2	1	452	0	28.0456337928772	0	0	0	0
16	1	2	2	2	2	1	604	0	30.0450892448425	0	0	0	0
17	1	1	2	2	2	2	487	0	32.211163520813	0	0	0	0
18	1	2	2	2	2	1	438	0	34.2439329624176	0	0	0	0
19	1	2	1	1	2	1	591	0	36.2267255783081	0	0	0	0
20	1	2	1	2	2	1	547	0	38.3761324882507	0	0	0	0
21	1	1	1	1	1	1	526	0	40.4755487442017	0	0	0	0
22	1	1	2	1	1	1	532	0	42.5583040714264	0	0	0	0
23	1	1	2	2	1	1	481	0	44.6410577297211	0	0	0	0
24	1	2	2	1	2	1	465	0	46.6738321781158	0	0	0	0
25	1	1	1	1	1	1	520	0	48.6899447441101	0	0	0	0
26	1	2	1	2	2	1	646	0	50.7560377120972	0	0	0	0
27	1	2	2	2	2	1	535	0	52.9554295539856	0	0	0	0
28	1	1	1	1	1	1	460	0	55.0381848812103	0	0	0	0
29	1	1	1	1	1	1	316	0	57.0543005466461	0	0	0	0
30	1	2	2	1	2	1	506	0	58.9204409122467	0	0	0	0
31	1	1	2	1	1	1	440	0	60.9865341186523	0	0	0	0
32	1	1	1	2	1	1	520	0	62.9859807491302	0	0	0	0
33	1	2	1	2	2	1	510	0	65.0687386989594	0	0	0	0
34	1	2	1	2	2	1	396	0	67.1348385810852	0	0	0	0
35	1	2	1	1	1	2	478	0	69.0842945575714	0	0	0	0
36	1	2	1	2	2	1	518	0	71.1170554161072	0	0	0	0
37	1	2	2	2	2	1	499	0	73.1998159885406	0	0	0	0
38	1	2	1	1	2	1	585	0	75.2659049034119	0	0	0	0
39	1	1	1	2	1	1	476	0	77.4153158664703	0	0	0	0
40	1	2	1	2	2	1	515	0	79.4480848312378	0	0	0	0
41	1	1	1	1	1	1	433	0	81.5141775608063	0	0	0	0
42	1	1	2	2	1	1	730	0	83.4969546794891	0	0	0	0
43	1	2	2	2	2	1	447	0	85.779655456543	0	0	0	0
44	1	2	1	2	2	1	479	0	87.7957589626312	0	0	0	0
45	1	2	2	2	2	1	463	0	89.8285150527954	0	0	0	0
46	1	2	1	1	2	1	567	0	91.8446295261383	0	0	0	0
47	1	1	2	2	1	1	387	0	93.9606947898865	0	0	0	0
48	1	2	2	2	2	1	518	0	95.9101557731628	0	0	0	0
49	1	1	1	1	1	1	580	0	97.976245880127	0	0	0	0
50	1	2	2	2	2	1	422	0	100.108976840973	0	0	0	0
51	1	1	2	1	1	1	481	0	102.075097084045	0	0	0	0
52	1	1	1	2	1	1	576	0	104.107866048813	0	0	0	0
53	1	2	2	1	2	1	483	0	106.240597724915	0	0	0	0
54	1	2	1	1	2	1	545	0	108.29003405571	0	0	0	0
55	1	2	1	1	2	1	390	0	110.389441490173	0	0	0	0
56	1	2	1	1	2	1	473	0	112.338891744614	0	0	0	0
57	1	2	2	2	2	1	552	0	114.371652841568	0	0	0	0
58	1	2	2	1	2	1	604	0	116.471061706543	0	0	0	0
59	1	1	2	1	1	1	463	0	118.637120008469	0	0	0	0
60	1	1	2	1	1	1	376	0	120.653230428696	0	0	0	0
61	1	2	2	1	2	1	466	0	122.586018562317	0	0	0	0
62	1	1	1	2	1	1	426	0	124.602120637894	0	0	0	0
63	1	1	1	2	1	1	443	0	126.584900856018	0	0	0	0
64	1	1	1	1	1	1	364	0	128.58433842659	0	0	0	0
65	1	2	1	1	2	1	344	0	130.500470638275	0	0	0	0
66	1	1	2	1	1	1	452	0	132.399929761887	0	0	0	0
67	1	2	1	1	2	1	589	0	134.39936375618	0	0	0	0
68	1	2	1	2	2	1	416	0	136.53210401535	0	0	0	0
69	1	2	2	1	2	1	378	0	138.49821472168	0	0	0	0
70	1	1	1	2	1	1	485	0	140.447666168213	0	0	0	0
71	1	2	1	2	2	1	532	0	142.48041677475	0	0	0	0
72	1	2	2	1	2	1	385	0	144.563173532486	0	0	0	0
73	1	2	1	1	2	1	405	0	146.495956659317	0	0	0	0
74	1	1	1	2	1	1	631	0	148.445412635803	0	0	0	0
