Trial	Block	stimside	congruentcondition	colors	respside	accuracy	RT	reward	trialtime	tmstime	query	qresp	qrt
1	1	2	1	2	2	1	389	0	-0.0295719087589532	0	0	0	0
2	1	2	1	2	2	1	327	0	1.91973714280175	0	0	0	0
3	1	1	1	1	1	1	349	0	3.80239460105076	0	0	0	0
4	1	2	2	1	2	1	401	0	5.7188931122073	0	0	0	0
5	1	1	2	1	2	2	356	0	7.66766961972462	0	0	0	0
6	1	2	2	2	2	1	423	0	9.56755923328456	0	0	0	0
7	1	1	2	2	1	1	458	0	11.5500187392463	0	0	0	0
8	1	2	1	1	2	1	490	0	13.5655754816835	0	0	0	0
9	1	1	2	1	2	2	440	0	15.6148517005495	0	0	0	0
10	1	2	2	2	2	1	473	0	17.6141477838391	0	0	0	0
11	1	2	1	2	2	1	328	0	19.6467587867519	0	0	0	0
12	1	1	1	2	1	1	350	0	21.529424074397	0	0	0	0
13	1	1	2	1	1	1	418	0	23.4453921973472	0	0	0	0
14	1	2	2	2	2	1	387	0	25.4280353359645	0	0	0	0
15	1	2	1	1	2	1	502	0	27.3777198043535	0	0	0	0
16	1	2	2	1	2	1	486	0	29.4266155190999	0	0	0	0
17	1	1	1	2	1	1	339	0	31.4925376452156	0	0	0	0
18	1	1	2	2	2	2	377	0	33.3757353228284	0	0	0	0
19	1	1	2	2	2	2	315	0	35.3078509059851	0	0	0	0
20	1	1	1	2	1	1	321	0	37.1908766666311	0	0	0	0
21	1	2	2	1	2	1	407	0	39.0736873545684	0	0	0	0
22	1	2	2	1	2	1	424	0	41.0391376828193	0	0	0	0
23	1	2	2	1	2	1	346	0	43.0051046287408	0	0	0	0
24	1	2	2	2	2	1	686	0	44.9050176533638	0	0	0	0
25	1	1	1	2	1	1	582	0	47.1536586568109	0	0	0	0
26	1	1	2	2	1	1	561	0	49.286211804545	0	0	0	0
27	1	1	2	1	1	1	430	0	51.4021324946661	0	0	0	0
28	1	1	1	2	1	1	415	0	53.385209890781	0	0	0	0
29	1	1	2	1	2	2	319	0	55.367992765212	0	0	0	0
30	1	1	1	2	1	1	342	0	57.2504688566551	0	0	0	0
31	1	1	2	2	1	1	427	0	59.1493650989141	0	0	0	0
32	1	1	2	1	1	1	412	0	61.1319985932787	0	0	0	0
33	1	1	1	1	1	1	301	0	63.1150749903172	0	0	0	0
34	1	1	1	2	1	1	356	0	64.963984363887	0	0	0	0
35	1	2	1	1	2	1	280	0	66.8799803473521	0	0	0	0
36	1	1	1	2	1	1	333	0	68.7298074397841	0	0	0	0
37	1	1	1	2	1	1	275	0	70.612316894636	0	0	0	0
38	1	1	2	2	1	1	410	0	72.4451119755395	0	0	0	0
39	1	1	1	1	1	1	332	0	74.4111871580826	0	0	0	0
