Trial	Block	stimside	congruentcondition	colors	respside	accuracy	RT	reward	trialtime	tmstime	query	qresp	qrt
1	1	1	2	2	1	1	479	0	-0.00977849960327148	0	0	0	0
2	1	2	2	2	2	1	387	0	2.00292944908142	0	0	0	0
3	1	1	1	2	1	1	459	0	3.92233848571777	0	0	0	0
4	1	2	1	2	2	1	380	0	5.92172193527222	0	0	0	0
5	1	2	2	2	2	1	476	0	7.84112334251404	0	0	0	0
6	1	2	1	2	2	1	415	0	9.85383653640747	0	0	0	0
7	1	1	2	1	1	1	533	0	11.7999005317688	0	0	0	0
8	1	1	2	1	1	1	443	0	13.8659224510193	0	0	0	0
9	1	1	2	2	1	1	471	0	15.8386464118958	0	0	0	0
10	1	1	1	1	1	1	479	0	17.8380317687988	0	0	0	0
11	1	2	2	1	2	1	474	0	19.8507449626923	0	0	0	0
12	1	1	1	2	1	1	518	0	21.863448381424	0	0	0	0
13	1	2	2	1	2	1	473	0	23.9161434173584	0	0	0	0
14	1	2	1	2	2	1	556	0	25.9288544654846	0	0	0	0
15	1	1	1	2	1	1	360	0	28.0215454101562	0	0	0	0
16	1	2	1	1	2	1	491	0	29.9142875671387	0	0	0	0
17	1	1	1	1	1	1	512	0	31.9403245449066	0	0	0	0
18	1	2	1	2	2	1	356	0	33.9930255413055	0	0	0	0
19	1	2	1	1	2	1	423	0	35.8857755661011	0	0	0	0
20	1	1	2	2	1	1	451	0	37.8584935665131	0	0	0	0
21	1	2	1	1	2	1	496	0	39.8445494174957	0	0	0	0
22	1	1	2	2	1	1	495	0	41.8705835342407	0	0	0	0
23	1	2	2	1	2	1	420	0	43.8966293334961	0	0	0	0
24	1	1	1	2	1	1	333	0	45.856020450592	0	0	0	0
25	1	1	1	1	1	1	379	0	47.7221095561981	0	0	0	0
26	1	2	2	2	1	2	364	0	49.6415183544159	0	0	0	0
27	1	2	2	1	2	1	439	0	51.5342669487	0	0	0	0
28	1	1	1	2	1	1	466	0	53.5069873332977	0	0	0	0
29	1	2	1	2	2	1	346	0	55.5063717365265	0	0	0	0
30	1	1	2	2	1	1	483	0	57.3857858181	0	0	0	0
31	1	1	2	2	1	1	407	0	59.3984899520874	0	0	0	0
32	1	1	2	2	1	1	444	0	61.3445613384247	0	0	0	0
33	1	1	2	1	1	1	346	0	63.3306128978729	0	0	0	0
34	1	2	2	1	2	1	331	0	65.2100224494934	0	0	0	0
35	1	1	1	1	1	1	409	0	67.0761125087738	0	0	0	0
36	1	1	1	1	1	1	415	0	69.0221829414368	0	0	0	0
37	1	1	1	2	1	1	437	0	70.9682457447052	0	0	0	0
38	1	1	1	2	1	1	384	0	72.9409694671631	0	0	0	0
39	1	2	2	1	2	1	392	0	74.8603734970093	0	0	0	0
40	1	1	2	2	1	1	420	0	76.7931094169617	0	0	0	0
41	1	2	1	2	2	1	380	0	78.7525088787079	0	0	0	0
42	1	1	1	1	1	1	357	0	80.6719024181366	0	0	0	0
43	1	1	2	2	2	2	337	0	82.5646543502808	0	0	0	0
44	1	1	1	2	1	1	478	0	84.4307498931885	0	0	0	0
45	1	2	2	2	2	1	505	0	86.4434554576874	0	0	0	0
46	1	1	1	1	1	1	466	0	88.4828195571899	0	0	0	0
47	1	2	2	2	2	1	490	0	90.4822013378143	0	0	0	0
48	1	1	1	1	1	1	416	0	92.5082414150238	0	0	0	0
49	1	2	2	2	2	1	510	0	94.4543054103851	0	0	0	0
50	1	1	1	2	1	1	423	0	96.4936714172363	0	0	0	0
51	1	2	1	1	2	1	439	0	98.4530737400055	0	0	0	0
52	1	2	1	1	2	1	499	0	100.425790548325	0	0	0	0
53	1	2	2	1	2	1	523	0	102.46515750885	0	0	0	0
54	1	2	2	2	2	1	414	0	104.517853498459	0	0	0	0
55	1	2	2	2	2	1	485	0	106.463922739029	0	0	0	0
56	1	2	2	1	2	1	395	0	108.489956378937	0	0	0	0
57	1	2	2	2	2	1	382	0	110.422702789307	0	0	0	0
58	1	1	2	2	1	1	374	0	112.342099428177	0	0	0	0
59	1	2	1	2	2	1	412	0	114.24817442894	0	0	0	0
60	1	2	1	1	2	1	426	0	116.194245815277	0	0	0	0
61	1	2	2	2	2	1	403	0	118.153642892838	0	0	0	0
62	1	1	2	1	1	1	502	0	120.086371421814	0	0	0	0
63	1	2	1	1	2	1	438	0	122.125739336014	0	0	0	0
