Trial	Block	stimside	congruentcondition	colors	respside	accuracy	RT	reward	trialtime	tmstime	query	qresp	qrt
1	1	2	2	2	0	99	0	0	-0.0149087905883789	0	0	0	0
2	1	1	2	1	2	2	464	0	2.55092811584473	0	0	0	0
3	1	2	1	1	0	99	0	0	4.56693029403687	0	0	0	0
4	1	2	2	2	1	2	131	0	7.14943337440491	0	0	0	0
5	1	1	2	2	2	2	341	0	8.84888911247253	0	0	0	0
6	1	2	2	1	0	99	0	0	10.7482724189758	0	0	0	0
7	1	1	1	2	1	1	380	0	13.3141074180603	0	0	0	0
8	1	1	2	2	2	2	263	0	15.246809720993	0	0	0	0
9	1	2	2	2	0	99	0	0	17.0628867149353	0	0	0	0
10	1	2	1	2	2	1	12	0	19.6287157535553	0	0	0	0
11	1	1	2	1	0	99	0	0	21.2115426063538	0	0	0	0
12	1	2	1	1	1	2	10	0	23.7773807048798	0	0	0	0
13	1	1	1	2	1	1	463	0	25.3435435295105	0	0	0	0
14	1	1	1	2	1	1	366	0	27.3595507144928	0	0	0	0
15	1	1	2	1	2	2	275	0	29.2756028175354	0	0	0	0
16	1	1	2	1	2	2	417	0	31.1250014305115	0	0	0	0
17	1	2	1	1	0	99	0	0	33.1076877117157	0	0	0	0
18	1	1	1	1	1	1	364	0	35.6735203266144	0	0	0	0
19	1	1	2	2	2	2	392	0	37.5895648002625	0	0	0	0
20	1	1	1	1	1	1	675	0	39.5389323234558	0	0	0	0
21	1	1	2	1	0	99	0	0	41.7882158756256	0	0	0	0
22	1	2	1	2	2	1	475	0	44.3707101345062	0	0	0	0
23	1	2	1	1	0	99	0	0	46.420042514801	0	0	0	0
24	1	1	1	2	1	1	284	0	49.0025415420532	0	0	0	0
25	1	1	1	2	1	1	611	0	50.8352737426758	0	0	0	0
26	1	2	1	2	2	1	373	0	53.0012474060059	0	0	0	0
27	1	2	2	1	0	99	0	0	54.9339547157288	0	0	0	0
28	1	2	1	1	1	2	66	0	57.4997863769531	0	0	0	0
29	1	1	2	1	2	2	385	0	59.1325914859772	0	0	0	0
30	1	1	1	1	1	1	900	0	61.0653014183044	0	0	0	0
31	1	1	1	2	1	1	260	0	63.5145034790039	0	0	0	0
32	1	2	2	2	1	2	652	0	65.3305804729462	0	0	0	0
33	1	2	2	1	1	2	828	0	67.5465314388275	0	0	0	0
34	1	1	1	1	1	1	764	0	69.9457592964172	0	0	0	0
35	1	1	1	2	0	99	0	0	72.2616724967957	0	0	0	0
36	1	1	2	1	0	99	0	0	74.8441724777222	0	0	0	0
37	1	1	1	1	1	1	379	0	77.4266674518585	0	0	0	0
