Trial	Block	stimside	congruentcondition	colors	respside	accuracy	RT	reward	trialtime	tmstime	query	qresp	qrt
1	1	2	1	1	0	99	0	0	-0.0728628635406494	0	0	0	0
2	1	2	2	1	2	1	737	0	2.52630186080933	0	0	0	0
3	1	2	1	1	2	1	566	0	4.82554244995117	0	0	0	0
4	1	2	2	1	2	1	498	0	6.9415295124054	0	0	0	0
5	1	1	2	1	1	1	640	0	8.99087071418762	0	0	0	0
6	1	1	2	2	1	1	570	0	11.1901445388794	0	0	0	0
7	1	2	2	1	2	1	421	0	13.3061363697052	0	0	0	0
8	1	1	2	2	1	1	615	0	15.2721574306488	0	0	0	0
9	1	1	1	1	2	2	817	0	17.4381248950958	0	0	0	0
10	1	1	1	1	1	1	627	0	19.8206806182861	0	0	0	0
11	1	2	2	1	2	1	573	0	22.0033113956451	0	0	0	0
12	1	1	2	2	2	2	392	0	24.1192944049835	0	0	0	0
13	1	2	1	1	2	1	523	0	26.0686595439911	0	0	0	0
14	1	2	1	1	2	1	521	0	28.1346538066864	0	0	0	0
15	1	2	1	2	2	1	887	0	30.200662612915	0	0	0	0
16	1	1	2	1	1	1	614	0	32.6498694419861	0	0	0	0
17	1	2	1	1	2	1	592	0	34.8158276081085	0	0	0	0
18	1	2	2	1	2	1	538	0	36.9651327133179	0	0	0	0
19	1	2	1	2	2	1	632	0	39.0477859973907	0	0	0	0
20	1	2	1	2	2	1	497	0	41.2304134368896	0	0	0	0
21	1	1	2	1	1	1	655	0	43.296418428421	0	0	0	0
22	1	2	2	1	2	1	664	0	45.5123634338379	0	0	0	0
23	1	1	2	2	1	1	656	0	47.7283143997192	0	0	0	0
24	1	1	1	1	1	1	601	0	49.9275968074799	0	0	0	0
25	1	2	2	1	2	1	483	0	52.0768966674805	0	0	0	0
26	1	1	2	1	1	1	530	0	54.1095786094666	0	0	0	0
27	1	2	1	1	2	1	719	0	56.2088887691498	0	0	0	0
28	1	1	1	2	1	1	421	0	58.4748187065125	0	0	0	0
29	1	2	2	1	2	1	648	0	60.4408535957336	0	0	0	0
30	1	1	1	2	1	1	608	0	62.6401433944702	0	0	0	0
31	1	1	1	2	1	1	538	0	64.806097984314	0	0	0	0
32	1	2	1	2	2	1	614	0	66.9054305553436	0	0	0	0
33	1	1	2	2	1	1	705	0	69.0713949203491	0	0	0	0
34	1	1	1	1	1	1	887	0	71.3206624984741	0	0	0	0
35	1	1	2	1	1	1	695	0	73.7532074451447	0	0	0	0
36	1	2	1	2	2	1	654	0	76.0024688243866	0	0	0	0
37	1	2	2	2	2	1	774	0	78.2184255123138	0	0	0	0
38	1	1	1	2	1	1	777	0	80.5510034561157	0	0	0	0
39	1	1	2	1	1	1	733	0	82.8835854530334	0	0	0	0
40	1	1	1	2	1	1	610	0	85.1661770343781	0	0	0	0
41	1	1	2	1	1	1	525	0	87.3321425914764	0	0	0	0
42	1	2	1	2	2	1	634	0	89.4147899150848	0	0	0	0
43	1	2	1	2	2	1	723	0	91.597424030304	0	0	0	0
44	1	2	2	2	2	1	696	0	93.8800077438354	0	0	0	0
45	1	1	2	1	1	1	687	0	96.1292808055878	0	0	0	0
46	1	1	2	2	1	1	518	0	98.3618924617767	0	0	0	0
47	1	2	2	2	2	1	645	0	100.427893400192	0	0	0	0
48	1	1	1	2	1	1	525	0	102.627174854279	0	0	0	0
49	1	1	2	2	1	1	619	0	104.709841489792	0	0	0	0
50	1	2	1	1	2	1	517	0	106.875803470612	0	0	0	0
51	1	2	2	2	2	1	594	0	108.941790819168	0	0	0	0
52	1	1	1	2	1	1	558	0	111.09109377861	0	0	0	0
53	1	1	1	1	0	99	0	0	113.2070748806	0	0	0	0
54	1	1	2	1	1	1	915	0	115.772910833359	0	0	0	0
55	1	2	2	2	2	1	626	0	118.238787412643	0	0	0	0
56	1	1	1	1	1	1	508	0	120.421409606934	0	0	0	0
57	1	1	1	2	1	1	537	0	122.487408399582	0	0	0	0
58	1	1	1	1	1	1	456	0	124.570065498352	0	0	0	0
59	1	1	2	2	1	1	503	0	126.58607172966	0	0	0	0
60	1	2	1	2	2	1	661	0	128.65206861496	0	0	0	0
61	1	2	1	1	2	1	605	0	130.868027448654	0	0	0	0
62	1	1	2	1	1	1	743	0	133.017330408096	0	0	0	0
63	1	2	1	1	2	1	588	0	135.31658244133	0	0	0	0
64	1	2	2	2	2	1	728	0	137.449222564697	0	0	0	0
65	1	1	2	2	1	1	525	0	139.731823444366	0	0	0	0
66	1	2	2	2	2	1	698	0	141.814480543137	0	0	0	0
67	1	1	1	2	1	1	481	0	144.063749551773	0	0	0	0
68	1	2	2	1	2	1	496	0	146.096421480179	0	0	0	0
69	1	1	1	1	1	1	431	0	148.145766496658	0	0	0	0
70	1	1	1	2	1	1	544	0	150.128444671631	0	0	0	0
71	1	1	2	1	1	1	814	0	152.227771520615	0	0	0	0
72	1	2	2	2	1	2	655	0	154.59366440773	0	0	0	0
73	1	2	1	2	2	1	760	0	156.792947530746	0	0	0	0
74	1	2	2	1	2	1	637	0	159.108864545822	0	0	0	0
75	1	2	2	2	2	1	534	0	161.291491746902	0	0	0	0
76	1	1	2	1	1	1	563	0	163.37415766716	0	0	0	0
77	1	2	1	1	2	1	623	0	165.490133523941	0	0	0	0
78	1	2	2	1	2	1	761	0	167.656103610992	0	0	0	0
79	1	2	1	2	2	1	557	0	169.972013711929	0	0	0	0
80	1	1	1	1	1	1	441	0	172.087997436523	0	0	0	0
81	1	1	1	2	1	1	618	0	174.087334871292	0	0	0	0
82	1	1	2	2	1	1	499	0	176.2866294384	0	0	0	0
83	1	1	2	2	1	1	578	0	178.33597445488	0	0	0	0
84	1	2	1	1	2	1	637	0	180.46861243248	0	0	0	0
85	1	2	2	2	0	99	0	0	182.651233673096	0	0	0	0
86	1	1	2	2	1	1	688	0	185.217075824738	0	0	0	0
87	1	2	1	1	2	1	521	0	187.46634554863	0	0	0	0
88	1	1	1	2	1	1	452	0	189.549004554749	0	0	0	0
89	1	1	1	1	1	1	613	0	191.548354625702	0	0	0	0
90	1	1	1	1	1	1	591	0	193.71431851387	0	0	0	0
91	1	2	1	2	2	1	522	0	195.863621711731	0	0	0	0
92	1	2	2	2	2	1	601	0	197.946283578873	0	0	0	0
93	1	2	2	2	2	1	498	0	200.095589399338	0	0	0	0
94	1	1	1	1	1	1	609	0	202.144914627075	0	0	0	0
95	1	2	2	1	2	1	826	0	204.310884475708	0	0	0	0
96	1	2	1	2	2	1	476	0	206.693449497223	0	0	0	0
97	2	2	1	2	2	1	723	0	257.327038526535	0	0	0	0
98	2	2	1	1	2	1	409	0	259.609627485275	0	0	0	0
99	2	1	2	2	1	1	634	0	261.575657606125	0	0	0	0
100	2	2	1	2	2	1	643	0	263.758285045624	0	0	0	0
101	2	2	1	1	2	1	412	0	265.957572460175	0	0	0	0
102	2	1	1	2	1	1	575	0	267.923602581024	0	0	0	0
103	2	2	1	1	2	1	458	0	270.056243896484	0	0	0	0
104	2	2	2	2	2	1	730	0	272.07225894928	0	0	0	0
105	2	2	2	1	2	1	496	0	274.354851961136	0	0	0	0
106	2	1	1	1	1	1	670	0	276.404179573059	0	0	0	0
107	2	1	1	2	1	1	518	0	278.620131492615	0	0	0	0
108	2	1	1	1	1	1	581	0	280.702791452408	0	0	0	0
109	2	1	1	2	1	1	559	0	282.835436582565	0	0	0	0
110	2	1	2	2	1	1	843	0	284.951412439346	0	0	0	0
111	2	2	1	1	2	1	413	0	287.350633621216	0	0	0	0
112	2	1	1	1	1	1	734	0	289.316664457321	0	0	0	0
113	2	1	1	2	1	1	483	0	291.599252462387	0	0	0	0
114	2	1	1	2	1	1	465	0	293.648584127426	0	0	0	0
115	2	2	2	2	2	1	929	0	295.664612531662	0	0	0	0
116	2	2	2	2	2	1	480	0	298.14713549614	0	0	0	0
117	2	1	1	1	2	2	654	0	300.179803609848	0	0	0	0
118	2	1	2	1	1	1	759	0	302.379089593887	0	0	0	0
119	2	2	1	1	2	1	491	0	304.695016622543	0	0	0	0
120	2	1	2	2	1	1	602	0	306.744351625443	0	0	0	0
121	2	2	1	2	2	1	597	0	308.893641710281	0	0	0	0
122	2	2	2	1	2	1	816	0	311.042953491211	0	0	0	0
123	2	2	1	1	2	1	482	0	313.408856868744	0	0	0	0
124	2	1	2	2	1	1	625	0	315.441528558731	0	0	0	0
125	2	2	2	1	2	1	555	0	317.624154567719	0	0	0	0
126	2	2	1	2	2	1	887	0	319.7401304245	0	0	0	0
127	2	1	2	2	1	1	648	0	322.172676563263	0	0	0	0
128	2	2	1	2	2	1	462	0	324.371967554092	0	0	0	0
129	2	2	1	2	2	1	606	0	326.387979507446	0	0	0	0
130	2	2	2	1	2	1	521	0	328.55394744873	0	0	0	0
131	2	2	1	1	2	1	422	0	330.636594772339	0	0	0	0
132	2	1	1	1	1	1	520	0	332.602622747421	0	0	0	0
133	2	1	2	1	1	1	488	0	334.668633460999	0	0	0	0
134	2	2	2	1	2	1	597	0	336.701302528381	0	0	0	0
135	2	2	1	2	2	1	832	0	338.850612401962	0	0	0	0
136	2	1	2	2	1	1	593	0	341.233160734177	0	0	0	0
137	2	1	1	1	1	1	492	0	343.382471561432	0	0	0	0
138	2	1	2	1	1	1	795	0	345.431809425354	0	0	0	0
139	2	1	1	1	1	1	462	0	347.781044721603	0	0	0	0
140	2	1	2	2	1	1	814	0	349.797054767609	0	0	0	0
141	2	1	1	1	1	1	576	0	352.162958621979	0	0	0	0
142	2	1	1	2	1	1	651	0	354.295605421066	0	0	0	0
143	2	2	1	1	2	1	612	0	356.494891405106	0	0	0	0
144	2	1	1	1	1	1	494	0	358.660857439041	0	0	0	0
145	2	1	2	1	1	1	812	0	360.710181474686	0	0	0	0
146	2	1	1	1	1	1	463	0	363.076083660126	0	0	0	0
147	2	1	2	1	1	1	638	0	365.092092037201	0	0	0	0
148	2	1	1	2	1	1	488	0	367.291388511658	0	0	0	0
149	2	1	2	1	1	1	551	0	369.324061632156	0	0	0	0
150	2	2	2	2	2	1	579	0	371.423385858536	0	0	0	0
151	2	2	1	1	2	1	447	0	373.556020498276	0	0	0	0
152	2	1	2	1	1	1	607	0	375.555369615555	0	0	0	0
153	2	2	2	1	2	1	554	0	377.721339941025	0	0	0	0
154	2	2	2	2	2	1	886	0	379.820663452148	0	0	0	0
155	2	1	2	1	1	1	630	0	382.25320148468	0	0	0	0
156	2	2	1	2	1	2	623	0	384.435821771622	0	0	0	0
157	2	1	1	1	1	1	617	0	386.618454456329	0	0	0	0
158	2	1	1	1	1	1	690	0	388.784417629242	0	0	0	0
159	2	2	1	1	2	1	602	0	391.033685445786	0	0	0	0
160	2	2	1	2	2	1	932	0	393.182990550995	0	0	0	0
161	2	2	1	1	2	1	530	0	395.665519475937	0	0	0	0
162	2	2	2	2	2	1	639	0	397.74818444252	0	0	0	0
163	2	2	1	2	2	1	536	0	399.947464466095	0	0	0	0
164	2	2	2	1	2	1	581	0	402.03012752533	0	0	0	0
165	2	1	1	2	1	1	608	0	404.162768602371	0	0	0	0
166	2	1	2	2	1	1	635	0	406.328736543655	0	0	0	0
167	2	1	2	1	1	1	980	0	408.511362552643	0	0	0	0
168	2	1	1	2	1	1	592	0	411.043868780136	0	0	0	0
169	2	1	2	1	1	1	635	0	413.193173408508	0	0	0	0
170	2	2	2	1	2	1	643	0	415.375802516937	0	0	0	0
171	2	1	2	2	1	1	572	0	417.575093507767	0	0	0	0
172	2	2	2	2	2	1	776	0	419.707724571228	0	0	0	0
173	2	1	1	2	1	1	667	0	422.040304422379	0	0	0	0
174	2	2	2	1	2	1	658	0	424.272921800613	0	0	0	0
175	2	2	2	2	2	1	667	0	426.488861560822	0	0	0	0
176	2	2	2	2	2	1	627	0	428.704818487167	0	0	0	0
177	2	2	1	1	2	1	780	0	430.887437820435	0	0	0	0
178	2	2	1	2	2	1	479	0	433.220020532608	0	0	0	0
